id;age;job;marital;education;housing;contact;month;duration;campaign;y
117917;56;housemaid;married;basic.4y;no;telephone;may;261;1;no
154174;57;services;married;high.school;no;telephone;may;149;1;no
145921;37;services;married;high.school;yes;telephone;may;226;1;no
186682;40;admin.;married;basic.6y;no;telephone;may;151;1;no
152429;56;services;married;high.school;no;telephone;may;307;1;no
173278;45;services;married;basic.9y;no;telephone;may;198;1;no
167499;59;admin.;married;professional.course;no;telephone;may;139;1;no
171626;41;blue-collar;married;unknown;no;telephone;may;217;1;no
119080;24;technician;single;professional.course;yes;telephone;may;380;1;no
148425;25;services;single;high.school;yes;telephone;may;50;1;no
114916;41;blue-collar;married;unknown;no;telephone;may;55;1;no
150940;25;services;single;high.school;yes;telephone;may;222;1;no
195806;29;blue-collar;single;high.school;no;telephone;may;137;1;no
109375;57;housemaid;divorced;basic.4y;yes;telephone;may;293;1;no
195815;35;blue-collar;married;basic.6y;yes;telephone;may;146;1;no
161448;54;retired;married;basic.9y;yes;telephone;may;174;1;no
149524;35;blue-collar;married;basic.6y;yes;telephone;may;312;1;no
177900;46;blue-collar;married;basic.6y;yes;telephone;may;440;1;no
113589;50;blue-collar;married;basic.9y;yes;telephone;may;353;1;no
134813;39;management;single;basic.9y;no;telephone;may;195;1;no
171508;30;unemployed;married;high.school;no;telephone;may;38;1;no
137059;55;blue-collar;married;basic.4y;yes;telephone;may;262;1;no
182512;55;retired;single;high.school;yes;telephone;may;342;1;no
190432;41;technician;single;high.school;yes;telephone;may;181;1;no
150766;37;admin.;married;high.school;yes;telephone;may;172;1;no
180042;35;technician;married;university.degree;no;telephone;may;99;1;no
191269;59;technician;married;unknown;yes;telephone;may;93;1;no
167400;39;self-employed;married;basic.9y;no;telephone;may;233;1;no
147272;54;technician;single;university.degree;no;telephone;may;255;2;no
171345;55;unknown;married;university.degree;unknown;telephone;may;362;1;no
129329;46;admin.;married;unknown;no;telephone;may;348;1;no
159017;59;technician;married;unknown;yes;telephone;may;386;1;no
182615;49;blue-collar;married;unknown;no;telephone;may;73;1;no
147955;54;management;married;basic.4y;yes;telephone;may;230;1;no
150536;54;blue-collar;divorced;basic.4y;no;telephone;may;208;1;no
187063;55;unknown;married;basic.4y;yes;telephone;may;336;1;no
113258;34;services;married;high.school;no;telephone;may;365;1;no
140916;52;technician;married;basic.9y;yes;telephone;may;1666;1;no
100652;41;admin.;married;university.degree;yes;telephone;may;577;1;no
181009;56;technician;married;basic.4y;yes;telephone;may;137;1;no
103621;58;management;unknown;university.degree;yes;telephone;may;366;1;no
101006;32;entrepreneur;married;high.school;yes;telephone;may;314;1;no
124846;38;admin.;single;professional.course;no;telephone;may;160;1;no
171108;57;admin.;married;university.degree;no;telephone;may;212;1;no
